source_player_id,name_ja,stratum,gold_pathway_category,gold_final_institution,evidence_url,evidence_note,determination,researched_at
3000,児玉 新,A_auto_high_conf,j_club_academy,ガンバ大阪ユース,https://web.gekisaka.jp/player/?33670-9140-jp=,ゲキサカ選手ページに「選手歴=G大阪ユース-G大阪-...」と記載。ユースからの昇格。,confirmed,2026-07-19
6789,片桐 淳至,A_auto_high_conf,high_school,岐阜工業高校,https://king-gear.com/articles/577,岐阜工業高校(1999-2002)在学、2001年全国高校選手権得点王。高校卒業後2002年に名古屋グランパスエイトへ入団。,confirmed,2026-07-19
3146,村松 潤,A_auto_high_conf,j_club_academy,清水エスパルスユース,https://www.fansaka.info/player/J324A0/,静岡FC→清水エスパルスJrユース→清水エスパルスユースを経て2001年にトップ昇格、とデータベースに記載。,confirmed,2026-07-19
5953,野田 恭平,A_auto_high_conf,high_school,日本大学高校,http://archive3.fc-gifu.com/news/post-30.html,FC岐阜公式入団発表に経歴「日大高→東京ヴェルディ1969→沖縄かりゆしFC→FC琉球」と記載。高校在学中の強化指定選手登録を経てヴェルディ入団。,confirmed,2026-07-19
7749,岸田 裕樹,A_auto_high_conf,university,関西学院大学,https://www.fansaka.info/player/J31670/,関西学院高→関西学院大学(2000-2003)を経て卒業後2005年にYKK AP(JFL)でプロキャリア開始、後にヴィッセル神戸。,confirmed,2026-07-19
9150,筑城 和人,A_auto_high_conf,university,駒澤大学,https://www.fansaka.info/player/J348E2/,清水商業高校を経て駒澤大学に進学、大学卒業後2007年に名古屋グランパスでプロキャリア開始、とデータベースに記載。,confirmed,2026-07-19
6285,犬塚 友輔,A_auto_high_conf,university,静岡産業大学,https://www.ssu.ac.jp/club/football/ob_og/m-team/ob_og-58405/,静岡産業大学サッカー部公式OBページに2006年卒業、卒業後ジュビロ磐田等でプロ、と記載。,confirmed,2026-07-19
7876,吉田 麻也,A_needs_review,j_club_academy,名古屋グランパスエイトユース,https://maya-yoshida.com/profiles,選手本人公式サイトのプロフィールに2001-2003 U-15、2004-2006 U-18、2007年トップ昇格と記載。高校(豊田高校)は非提携の通学先で育成自体はグランパスユース。,confirmed,2026-07-19
6245,根占 真伍,A_needs_review,j_club_academy,東京ヴェルディユース,https://picchinoyusya.club/nejime-shingo/,ジュニアユースからヴェルディユース昇格、高3で2種登録、高校卒業後2003年に東京ヴェルディとプロ契約と記載。,confirmed,2026-07-19
3242,大和田 真史,A_needs_review,university,明治大学,https://www.soccer-king.jp/player/article/414835.html,「翼SS-鹿島アントラーズJrユース-鹿島アントラーズユース-明治大-水戸ホーリーホック」と経歴記載。ユース昇格でなく大学経由でプロ入り。,confirmed,2026-07-19
6081,秦 賢二,A_unknown_label,high_school,広島皆実高校,https://hiroshimanchu.com/news/%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%E7%B4%B9%E4%BB%8B%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E9%81%B8%E6%89%8B%E3%83%BB%E7%A7%A6%E8%B3%A2%E4%BA%8C%E3%81%95%E3%82%93/,広島皆実高校卒業後2000年に名古屋グランパスエイト入団、と沖縄広島県人会サイトに記載。,confirmed,2026-07-19
9162,盛礼良 レオナルド（ レオナルド）,A_unknown_label,undeterminable,,https://web.gekisaka.jp/player/?33153-20998-jp=&code=leonardo,経歴「青森山田高-JAPANサッカーカレッジ-東京V-...」。プロ入り直前の所属はJAPANサッカーカレッジ(専門学校)であり、指定カテゴリ(university/high_school/j_club_academy/jfa_academy/grassroots_club)のいずれにも該当しないため判定不能。,undeterminable,2026-07-19
4461,原 竜太,A_no_confirmed_article,high_school,市立船橋高校,https://picchinoyusya.club/hara-ryuta/,横浜フリューゲルスジュニアユース(中学)を経て市立船橋高校へ進学。1999年全国高校選手権優勝の活躍で名古屋グランパスエイトからオファーを受け2000年入団。,confirmed,2026-07-19
8624,田中 淳,A_no_confirmed_article,undeterminable,,,ザスパ草津所属(2006-2011)のMF田中淳選手について外部ソースで出身校・経歴を確認できず。同姓同名の別人(大学教授、講師)がヒットするのみ。,undeterminable,2026-07-19
8609,高橋 大輔,A_no_confirmed_article,university,福岡大学,https://www.cerezo.jp/news/2013-07-24-3/,セレッソ大阪公式引退発表記事に「柳川高校('99)→福岡大学('02)→大分トリニータ('06)→セレッソ大阪」と経歴記載。,confirmed,2026-07-19
6782,伊藤 仁,B_auto_high_conf,high_school,武南高校,http://www.fansaka.info/player/J33570,データベースに「武南高、セレッソ大阪、水戸ホーリーホック」と経歴記載。高校卒業後2002年セレッソ大阪入団。,confirmed,2026-07-19
7709,木藤 健太,B_auto_high_conf,university,近畿大学,https://avispaflag.com/player-date.html?player_id=0156,アビスパ福岡ファンサイトのデータに「国見高校/近畿大学」出身と記載。大学卒業後2004年アビスパ福岡入団。,confirmed,2026-07-19
8126,秋田 政輝,B_auto_high_conf,university,筑波大学,https://www.fansaka.info/player/J329P1/,データベースに「市立船橋高-筑波大-水戸ホーリーホック」と経歴記載。,confirmed,2026-07-19
